"Date","DAT","Plant.ID","Plant.Name","Treatment","PID","RGB2_Plant_AREA_MM","RGB2_Plant_PERIMETER_MM","RGB2_Plant_COMPACTNESS","RGB2_Plant_SOL"
"9/4/2023",24,"L1_C_20","L1","Control","RGB2",3967.643121,1653.065795,0.096289155,130.0104441
"9/4/2023",24,"L5_D_9","L5","Drought","RGB2",4471.159861,2033.331882,0.080878588,166.4593859
"9/4/2023",24,"L8_D_16","L8","Drought","RGB2",3688.577791,1743.353779,0.11585292,163.9129542
"9/4/2023",24,"L7_D_3","L7","Drought","RGB2",3010.052883,1326.38826,0.076703618,112.4665543
"9/4/2023",24,"L1_C_9","L1","Control","RGB2",7961.475949,1999.292063,0.096632477,102.0875599
"9/4/2023",24,"L9_D_3","L9","Drought","RGB2",2966.265839,1375.555902,0.118372584,129.0895033
"9/4/2023",24,"L6_C_5","L6","Control","RGB2",1201.894176,526.1218288,0.159766021,44.54898752
"9/4/2023",24,"L1_C_4","L1","Control","RGB2",5093.331779,1995.390802,0.070385355,147.5068729
"9/4/2023",24,"L2_D_3","L2","Drought","RGB2",5174.219983,2124.941692,0.075613351,151.582861
"9/4/2023",24,"L6_C_14","L6","Control","RGB2",4505.054645,1673.974396,0.117205332,139.0775184
"9/4/2023",24,"L2_D_2","L2","Drought","RGB2",2903.838029,1286.360124,0.091855969,94.90315356
"9/4/2023",24,"L1_D_2","L1","Drought","RGB2",4914.007524,1175.409993,0.173536996,98.76850829
"9/4/2023",24,"L3_C_1","L3","Control","RGB2",5134.00687,1666.957454,0.098651209,104.8546169
"9/4/2023",24,"L6_D_14","L6","Drought","RGB2",4104.830505,1499.544812,0.117416286,120.0041307
"9/4/2023",24,"L9_D_17","L9","Drought","RGB2",2709.114293,1272.165958,0.062314624,103.0709166
"9/4/2023",24,"L8_C_7","L8","Control","RGB2",3492.960568,1489.087112,0.05511353,145.0476171
"9/4/2023",24,"L7_D_16","L7","Drought","RGB2",3224.215771,1399.28359,0.109532591,128.375566
"9/4/2023",24,"L8_C_8","L8","Control","RGB2",5115.483262,2148.216529,0.063342652,168.4898324
"9/4/2023",24,"L4_D_1","L4","Drought","RGB2",3625.84882,1408.654084,0.105995923,129.2500887
"9/4/2023",24,"L9_C_14","L9","Control","RGB2",2484.585439,1212.095155,0.101219424,115.5531646
