"Date","DAT","Plant.ID","Plant.Name","Treatment","PID","FC1_Plant_HL.ind_Fo","FC1_Plant_HL.ind_Fm","FC1_Plant_HL.ind_Fv","FC1_Plant_HL.ind_QY_max","FC1_Plant_HL.ind_Fp","FC1_Plant_HL.ind_Fm_L1","FC1_Plant_HL.ind_Fm_L2","FC1_Plant_HL.ind_Fm_Lss","FC1_Plant_HL.ind_Ft_L1","FC1_Plant_HL.ind_Ft_L2","FC1_Plant_HL.ind_Ft_Lss","FC1_Plant_HL.ind_Fo_L1","FC1_Plant_HL.ind_Fo_L2","FC1_Plant_HL.ind_Fo_Lss","FC1_Plant_HL.ind_Fv_L1","FC1_Plant_HL.ind_Fv_L2","FC1_Plant_HL.ind_Fv_Lss","FC1_Plant_HL.ind_Fq_L1","FC1_Plant_HL.ind_Fq_L2","FC1_Plant_HL.ind_Fq_Lss","FC1_Plant_HL.ind_FvFm_L1","FC1_Plant_HL.ind_FvFm_L2","FC1_Plant_HL.ind_FvFm_Lss","FC1_Plant_HL.ind_QY_L1","FC1_Plant_HL.ind_QY_L2","FC1_Plant_HL.ind_QY_Lss","FC1_Plant_HL.ind_NPQ_L1","FC1_Plant_HL.ind_NPQ_L2","FC1_Plant_HL.ind_NPQ_Lss","FC1_Plant_HL.ind_qN_L1","FC1_Plant_HL.ind_qN_L2","FC1_Plant_HL.ind_qN_Lss","FC1_Plant_HL.ind_qP_L1","FC1_Plant_HL.ind_qP_L2","FC1_Plant_HL.ind_qP_Lss","FC1_Plant_HL.ind_qL_L1","FC1_Plant_HL.ind_qL_L2","FC1_Plant_HL.ind_qL_Lss","FC1_Plant_HL.ind_Rfd_L1","FC1_Plant_HL.ind_Rfd_L2","FC1_Plant_HL.ind_Rfd_Lss"
"9/7/2023",26,"L6_C_7","L6","Control","FC1",1794.113768,10662.68573,8868.571956,0.831739037,9733.30599,8040.53958,5935.920688,4706.387855,7147.736446,5013.474349,3824.579037,1727.291918,1594.839964,2389.228839,6313.247656,4341.080728,2317.159017,892.8031334,922.4463396,881.8088181,0.785177113,0.73132391,0.492343404,0.111037714,0.155400718,0.187364247,0.326115694,0.79629855,1.26557735,0.293456137,0.52126659,0.719928556,0.14141741,0.212492326,0.380556022,0.035496401,0.076042158,0.178519202,0.361732636,0.941429299,1.544935246
"9/7/2023",26,"L9_C_19","L9","Control","FC1",1525.886689,9468.15914,7942.272442,0.838840193,7873.536303,6810.36978,5257.052588,4385.491781,5881.894092,4277.167411,3412.974601,1429.631749,1335.546254,2075.794562,5380.738031,3921.506333,2309.697218,928.4756882,979.8851776,972.5171799,0.790080158,0.745951513,0.526667779,0.13633264,0.186394403,0.221757839,0.390256248,0.801039457,1.158973181,0.330631374,0.517804869,0.687556371,0.172555453,0.24987469,0.421058298,0.044764504,0.089143217,0.188248472,0.338605589,0.840829583,1.306942542
"9/7/2023",26,"L7_C_1","L7","Control","FC1",1439.607607,8758.576136,7318.968528,0.835634516,8072.990861,6409.008693,4687.876284,3824.359543,5548.485467,3800.298791,2929.618339,1348.047514,1242.09796,1852.329663,5060.961179,3445.778325,1972.029879,860.5232259,887.5774936,894.7412045,0.789663647,0.735040371,0.515649707,0.134267758,0.189334667,0.233958443,0.366603878,0.868346263,1.290207298,0.317058008,0.541570102,0.714457066,0.17003158,0.257584038,0.453715846,0.044116319,0.097576522,0.222954907,0.454989998,1.124304247,1.755645933
"9/7/2023",26,"L7_C_8","L7","Control","FC1",1398.629296,8820.716801,7422.087504,0.841438136,7654.408782,6317.674768,4619.855902,3768.140525,5485.514648,3754.291829,2912.503574,1305.788961,1214.876823,1820.458198,5011.885806,3404.979074,1947.682328,832.1601204,865.5640731,855.6369512,0.793311778,0.737031446,0.516881553,0.131719367,0.187357375,0.227071402,0.396196722,0.909305612,1.340867264,0.33307599,0.552320442,0.721769946,0.166037327,0.254205402,0.439310322,0.042334163,0.094702047,0.210963616,0.395385715,1.038842245,1.628119962
"9/7/2023",26,"L6_C_13","L6","Control","FC1",1885.070555,10790.49015,8905.419595,0.825302602,10497.61185,8697.558538,6326.651346,5014.934963,7545.95619,5114.298087,3866.596711,1911.910943,1717.827047,2469.200604,6785.647595,4608.824299,2545.734358,1151.602347,1212.353259,1148.338252,0.780178433,0.728477681,0.507630583,0.132405243,0.191626374,0.228983678,0.240634381,0.705561056,1.151671005,0.235728213,0.492009761,0.69406973,0.169711488,0.26305044,0.451083299,0.042395969,0.09695732,0.219915318,0.391157275,1.052600703,1.714948735
"9/7/2023",26,"L9_C_20","L9","Control","FC1",1771.773846,10173.32086,8401.547008,0.825841151,9054.350712,7608.29539,5734.242944,4818.012999,6571.647005,4572.262339,3600.377839,1684.399853,1558.437579,2222.236084,5923.895538,4175.805367,2595.776917,1036.648386,1161.980606,1217.63516,0.778610087,0.728222611,0.53876503,0.136252384,0.202638887,0.252725586,0.337135368,0.774134957,1.111517935,0.302161543,0.5152801,0.673531727,0.174994373,0.27826503,0.469083129,0.047180022,0.10782905,0.230839445,0.37779018,0.980278042,1.514833475
"9/7/2023",26,"L8_D_13","L8","Drought","FC1",1946.764314,10775.24512,8828.480798,0.819329927,10575.78058,8316.771001,5858.403774,4797.991738,7275.7515,4766.445078,3727.504657,2058.616338,1710.030844,2485.061054,6258.154665,4148.37293,2312.930685,1041.019501,1091.958695,1070.487081,0.752474087,0.708106353,0.482062249,0.125171115,0.186391846,0.223111489,0.295604401,0.839280038,1.245782341,0.282044145,0.542385562,0.721003699,0.166346081,0.263225779,0.462827134,0.044509026,0.107509589,0.241720784,0.453565392,1.218798372,1.837227999
"9/7/2023",26,"L9_D_13","L9","Drought","FC1",1808.982378,10017.81461,8208.83223,0.819423452,9091.849675,7950.166262,5952.208913,4974.221763,6830.881196,4734.746085,3738.872198,1784.483686,1623.831501,2342.019373,6165.682576,4328.377413,2632.20239,1119.285065,1217.462828,1235.349565,0.775541337,0.727188423,0.529168685,0.14078763,0.204539667,0.24835032,0.260076114,0.683041498,1.013946117,0.251131451,0.484347615,0.657077565,0.181534656,0.281274647,0.469321649,0.048074763,0.107465294,0.227072376,0.330992212,0.92024018,1.431709134
"9/7/2023",26,"L1_C_1","L1","Control","FC1",1637.382353,9454.058771,7816.67642,0.826806413,8678.439603,7046.028466,5247.929426,4401.769728,6084.373083,4210.041194,3331.518487,1397.944711,1433.905043,2056.541903,5648.083755,3814.024382,2345.227824,961.6553836,1037.888232,1070.251241,0.801598203,0.726767468,0.532792029,0.136481904,0.197770996,0.243141124,0.341757107,0.801483595,1.147785858,0.298907176,0.524444978,0.682970939,0.170262239,0.272124173,0.456352781,0.045819739,0.105835382,0.224289313,0.426349023,1.061366909,1.604950156
"9/7/2023",26,"L9_D_1","L9","Drought","FC1",1753.781465,9917.258777,8163.477312,0.823158647,9521.893208,7666.034878,5568.927192,4545.796709,6703.649888,4547.720539,3549.461324,1676.981549,1541.089078,2260.91869,5989.053327,4027.838113,2284.878019,962.3849899,1021.206652,996.3353858,0.781245249,0.723270026,0.502635328,0.125538822,0.183375831,0.219177286,0.2936621,0.780820333,1.181632706,0.273197592,0.519131267,0.701570464,0.16069067,0.253537164,0.43605627,0.042039236,0.097773989,0.215454497,0.420404312,1.093772721,1.682630501
