"Date","DAT","Plant.ID","Plant.Name","Treatment","PID","VNIR_Plant_PRI","VNIR_Plant_NDVI","VNIR_Plant_PSRI","VNIR_Plant_SIPI","VNIR_Plant_MCARI1"
"9/10/2023",30,"L8_C_13","L8","Control","VNIR",0.09126167,0.7207306,-0.105871074,0.60983753,1.5203334
"9/10/2023",30,"L2_C_8","L2","Control","VNIR",0.09167029,0.680751,-0.11159079,0.5705442,1.4571748
"9/10/2023",30,"L6_D_3","L6","Drought","VNIR",0.08503532,0.66265714,-0.1008146,0.56146836,1.4085958
"9/10/2023",30,"L3_D_5","L3","Drought","VNIR",0.08000341,0.6629022,-0.10644672,0.5558438,1.4642868
"9/10/2023",30,"L6_D_9","L6","Drought","VNIR",0.095039405,0.6831974,-0.10995808,0.5732175,1.4244249
"9/10/2023",30,"L1_D_9","L1","Drought","VNIR",0.08333902,0.7331869,-0.07830413,0.6487691,1.51714
"9/10/2023",30,"L2_D_5","L2","Drought","VNIR",0.08745902,0.6631461,-0.10609042,0.56315374,1.4199957
"9/10/2023",30,"L2_C_2","L2","Control","VNIR",0.088896275,0.71367806,-0.095514104,0.6168988,1.476179
"9/10/2023",30,"L5_C_5","L5","Control","VNIR",0.08585969,0.7313395,-0.093615174,0.6374688,1.5235795
"9/10/2023",30,"L1_D_16","L1","Drought","VNIR",0.091927044,0.65042955,-0.11055625,0.54713696,1.408959
"9/10/2023",30,"L1_C_14","L1","Control","VNIR",0.08202866,0.71953344,-0.083465226,0.6314631,1.4826474
"9/10/2023",30,"L6_D_4","L6","Drought","VNIR",0.07746514,0.6078481,-0.10502799,0.5112253,1.3383522
"9/10/2023",30,"L7_C_10","L7","Control","VNIR",0.06536826,0.60764813,-0.0873124,0.5306065,1.3682451
"9/10/2023",30,"L7_C_4","L7","Control","VNIR",0.08726166,0.6775146,-0.10502502,0.57080066,1.439702
"9/10/2023",30,"L7_C_1","L7","Control","VNIR",0.09108044,0.65720576,-0.11541893,0.54289454,1.4166733
"9/10/2023",30,"L9_D_14","L9","Drought","VNIR",0.0906346,0.7058472,-0.105934404,0.5933925,1.4770589
"9/10/2023",30,"L9_D_13","L9","Drought","VNIR",0.07979925,0.6547723,-0.09918342,0.560761,1.4033499
"9/10/2023",30,"L1_D_17","L1","Drought","VNIR",0.08533603,0.7173167,-0.09112388,0.62681377,1.5000101
"9/10/2023",30,"L9_D_19","L9","Drought","VNIR",0.09027259,0.6850629,-0.10114949,0.58122563,1.427497
"9/10/2023",30,"L6_D_17","L6","Drought","VNIR",0.09758831,0.69618565,-0.11123722,0.5844864,1.4358062
"9/10/2023",30,"L8_D_13","L8","Drought","VNIR",0.08142383,0.6929338,-0.09056445,0.5996205,1.4550464
"9/10/2023",30,"L5_D_9","L5","Drought","VNIR",0.08466555,0.69150466,-0.09713496,0.5891173,1.4527663
"9/10/2023",30,"L7_D_11","L7","Drought","VNIR",0.09043233,0.6753045,-0.10710891,0.56771743,1.4185963
"9/10/2023",30,"L1_C_5","L1","Control","VNIR",0.089179926,0.6940721,-0.111078,0.5861631,1.4822826
"9/10/2023",30,"L4_D_9","L4","Drought","VNIR",0.082908176,0.6558778,-0.09935,0.55676657,1.3931625
"9/10/2023",30,"L1_D_6","L1","Drought","VNIR",0.08278774,0.68030673,-0.09732909,0.58394307,1.4544668
"9/10/2023",30,"L3_C_2","L3","Control","VNIR",0.08218567,0.67326313,-0.108735904,0.56157076,1.4572941
"9/10/2023",30,"L8_D_1","L8","Drought","VNIR",0.09012671,0.68893296,-0.11182849,0.5762101,1.4829895
"9/10/2023",30,"L6_C_7","L6","Control","VNIR",0.09064557,0.689573,-0.10495873,0.58041054,1.452459
"9/10/2023",30,"L9_C_9","L9","Control","VNIR",0.08913749,0.70321614,-0.10968206,0.58817244,1.4839365
"9/10/2023",30,"L7_C_11","L7","Control","VNIR",0.08254475,0.69445556,-0.09466556,0.5928619,1.4638066
"9/10/2023",30,"L7_C_8","L7","Control","VNIR",0.09146703,0.656221,-0.121499084,0.53449047,1.428668
"9/10/2023",30,"L8_D_6","L8","Drought","VNIR",0.07366202,0.66248703,-0.08749624,0.5768018,1.4173193
"9/10/2023",30,"L5_C_4","L5","Control","VNIR",0.08538939,0.7216383,-0.09615218,0.6191513,1.4983984
"9/10/2023",30,"L9_D_7","L9","Drought","VNIR",0.086633906,0.6628019,-0.10521967,0.5566027,1.4246138
"9/10/2023",30,"L1_D_19","L1","Drought","VNIR",0.08691279,0.7054499,-0.09585568,0.6062437,1.4781184
"9/10/2023",30,"L2_C_7","L2","Control","VNIR",0.07704207,0.6541561,-0.092205055,0.5642253,1.4143299
"9/10/2023",30,"L9_D_5","L9","Drought","VNIR",0.08070161,0.6652041,-0.10154027,0.56164366,1.4390471
"9/10/2023",30,"L7_D_17","L7","Drought","VNIR",0.059577674,0.5607388,-0.07911971,0.48952532,1.2756435
"9/10/2023",30,"L1_C_12","L1","Control","VNIR",0.07591317,0.6869839,-0.0845738,0.60009384,1.4580265
"9/10/2023",30,"L8_D_17","L8","Drought","VNIR",0.07333232,0.6502112,-0.090444244,0.56320053,1.3967178
"9/10/2023",30,"L6_C_12","L6","Control","VNIR",0.08830312,0.68476605,-0.10157938,0.5822241,1.4369222
"9/10/2023",30,"L4_C_5","L4","Control","VNIR",0.08186325,0.7104828,-0.09787723,0.6104491,1.4899431
"9/10/2023",30,"L6_D_7","L6","Drought","VNIR",0.07982519,0.6527686,-0.09500398,0.55798185,1.3910966
"9/10/2023",30,"L6_C_18","L6","Control","VNIR",0.089668415,0.6914968,-0.102851026,0.58616406,1.4290464
"9/10/2023",30,"L1_D_12","L1","Drought","VNIR",0.075557284,0.6562474,-0.0936863,0.5645595,1.410701
"9/10/2023",30,"L1_D_11","L1","Drought","VNIR",0.07064265,0.6738877,-0.07526127,0.59968513,1.437227
"9/10/2023",30,"L8_D_18","L8","Drought","VNIR",0.082493275,0.6652471,-0.10147835,0.5651106,1.4184891
"9/10/2023",30,"L9_C_3","L9","Control","VNIR",0.07962617,0.62457883,-0.107876986,0.51861864,1.3694725
"9/10/2023",30,"L5_D_3","L5","Drought","VNIR",0.08162728,0.6752914,-0.10370832,0.5726617,1.4593226
"9/10/2023",30,"L8_D_5","L8","Drought","VNIR",0.08149352,0.69718045,-0.0931561,0.598693,1.4730853
"9/10/2023",30,"L1_D_20","L1","Drought","VNIR",0.073848166,0.6658636,-0.08250275,0.58560973,1.4226211
"9/10/2023",30,"L8_D_3","L8","Drought","VNIR",0.07450602,0.64650625,-0.09593139,0.548503,1.4048907
"9/10/2023",30,"L9_C_4","L9","Control","VNIR",0.08513844,0.67913646,-0.10056912,0.57565385,1.4381855
"9/10/2023",30,"L4_C_7","L4","Control","VNIR",0.0795074,0.69747084,-0.091684334,0.6033391,1.4749157
"9/10/2023",30,"L9_D_2","L9","Drought","VNIR",0.08187295,0.6596851,-0.10289868,0.558614,1.4183664
"9/10/2023",30,"L3_C_3","L3","Control","VNIR",0.075571544,0.7050771,-0.08938159,0.6124482,1.5127783
"9/10/2023",30,"L5_C_3","L5","Control","VNIR",0.07342913,0.6873868,-0.08227241,0.6015027,1.4180403
"9/10/2023",30,"L7_D_6","L7","Drought","VNIR",0.06331295,0.5172189,-0.09828624,0.44035152,1.2086896
"9/10/2023",30,"L9_C_1","L9","Control","VNIR",0.09154872,0.7058793,-0.10193605,0.60017395,1.4749539
"9/10/2023",30,"L8_D_16","L8","Drought","VNIR",0.07544063,0.6620837,-0.09478755,0.56862175,1.4199357
"9/10/2023",30,"L5_C_7","L5","Control","VNIR",0.07726237,0.6488512,-0.10039895,0.54926455,1.4148726
"9/10/2023",30,"L5_D_4","L5","Drought","VNIR",0.08496221,0.68301505,-0.108146794,0.57756525,1.4654455
"9/10/2023",30,"L7_D_3","L7","Drought","VNIR",0.09009482,0.65926796,-0.11060786,0.54998106,1.3973978
"9/10/2023",30,"L9_D_8","L9","Drought","VNIR",0.09609622,0.70555115,-0.10798136,0.5926173,1.4708743
"9/10/2023",30,"L4_D_5","L4","Drought","VNIR",0.08956822,0.67340213,-0.116198465,0.55142975,1.4504094
"9/10/2023",30,"L1_D_10","L1","Drought","VNIR",0.08523804,0.69811547,-0.09400401,0.59519124,1.4693645
"9/10/2023",30,"L4_D_4","L4","Drought","VNIR",0.074934095,0.6648168,-0.08914502,0.5771983,1.4179704
