"Date","DAT","Plant.ID","Plant.Name","Treatment","PID","IR1_Plant_Temp","Probes_T4.unit","IR1.Probes_Plant_deltaT"
"9/5/2023",25,"L2_C_2","L2","Control","IR1",25.88790894,24.10000038,1.787908554
"9/5/2023",25,"L2_C_3","L2","Control","IR1",26.1906929,25.39999962,0.790693283
"9/5/2023",25,"L2_C_4","L2","Control","IR1",26.98355865,25.10000038,1.883558273
"9/5/2023",25,"L2_C_5","L2","Control","IR1",26.32302284,25.60000038,0.723022461
"9/5/2023",25,"L2_C_6","L2","Control","IR1",26.31730461,25.60000038,0.71730423
"9/5/2023",25,"L2_C_7","L2","Control","IR1",25.95501709,25.10000038,0.855016708
"9/5/2023",25,"L2_C_8","L2","Control","IR1",26.30429459,24.29999924,2.004295349
"9/5/2023",25,"L2_C_9","L2","Control","IR1",25.74925041,25.10000038,0.649250031
"9/5/2023",25,"L2_D_1","L2","Drought","IR1",25.68899536,25.29999924,0.388996124
"9/5/2023",25,"L2_D_2","L2","Drought","IR1",26.79825974,24.5,2.298259735
"9/5/2023",25,"L2_D_3","L2","Drought","IR1",26.37098503,24.5,1.870985031
"9/5/2023",25,"L2_D_4","L2","Drought","IR1",25.74916649,24.79999924,0.949167252
"9/5/2023",25,"L2_D_5","L2","Drought","IR1",26.44157028,25.20000076,1.241569519
"9/5/2023",25,"L2_D_6","L2","Drought","IR1",26.58969307,25.79999924,0.789693832
"9/5/2023",25,"L2_D_7","L2","Drought","IR1",25.58629227,25.20000076,0.386291504
"9/5/2023",25,"L2_D_8","L2","Drought","IR1",24.8837986,24.20000076,0.683797836
"9/5/2023",25,"L2_D_9","L2","Drought","IR1",25.87510109,25.79999924,0.075101852
"9/5/2023",25,"L5_C_1","L5","Control","IR1",26.80683899,25.79999924,1.006839752
"9/5/2023",25,"L5_C_2","L5","Control","IR1",26.00712395,23.29999924,2.70712471
"9/5/2023",25,"L5_C_3","L5","Control","IR1",26.32871819,25.10000038,1.228717804
"9/5/2023",25,"L5_C_4","L5","Control","IR1",26.03872299,25.70000076,0.338722229
"9/5/2023",25,"L5_C_5","L5","Control","IR1",25.85885048,25.20000076,0.658849716
"9/5/2023",25,"L5_C_6","L5","Control","IR1",26.40800667,25.20000076,1.208005905
"9/5/2023",25,"L5_C_7","L5","Control","IR1",27.12107658,25.5,1.621076584
"9/5/2023",25,"L5_C_8","L5","Control","IR1",26.57319832,23.89999962,2.6731987
"9/5/2023",25,"L5_C_9","L5","Control","IR1",25.48032379,24.5,0.980323792
"9/5/2023",25,"L5_D_1","L5","Drought","IR1",26.07803917,25.60000038,0.478038788
"9/5/2023",25,"L5_D_2","L5","Drought","IR1",26.07541656,25.60000038,0.475416183
"9/5/2023",25,"L5_D_3","L5","Drought","IR1",26.52171516,25.39999962,1.121715546
"9/5/2023",25,"L5_D_4","L5","Drought","IR1",26.47663498,25.79999924,0.676635742
"9/5/2023",25,"L5_D_5","L5","Drought","IR1",25.30547142,25.10000038,0.205471039
"9/5/2023",25,"L5_D_6","L5","Drought","IR1",26.40197563,24.29999924,2.101976395
"9/5/2023",25,"L5_D_7","L5","Drought","IR1",26.65258408,25.60000038,1.052583694
"9/5/2023",25,"L5_D_8","L5","Drought","IR1",26.35030365,25.79999924,0.550304413
"9/5/2023",25,"L5_D_9","L5","Drought","IR1",26.70285416,24.5,2.202854156
"9/5/2023",25,"L4_C_1","L4","Control","IR1",26.9227581,25.20000076,1.722757339
"9/5/2023",25,"L4_C_2","L4","Control","IR1",26.06003761,25.10000038,0.960037231
"9/5/2023",25,"L4_C_3","L4","Control","IR1",26.68763542,25.60000038,1.08763504
"9/5/2023",25,"L4_C_4","L4","Control","IR1",26.60503006,25.5,1.10503006
"9/5/2023",25,"L4_C_5","L4","Control","IR1",26.25980186,25.20000076,1.059801102
"9/5/2023",25,"L4_C_6","L4","Control","IR1",26.66087723,25.79999924,0.860877991
"9/5/2023",25,"L4_C_7","L4","Control","IR1",26.31967354,25.70000076,0.619672775
"9/5/2023",25,"L4_C_8","L4","Control","IR1",25.85080719,25.29999924,0.550807953
"9/5/2023",25,"L4_C_9","L4","Control","IR1",25.21405029,24.70000076,0.51404953
"9/5/2023",25,"L4_D_1","L4","Drought","IR1",26.3674221,24.70000076,1.667421341
"9/5/2023",25,"L4_D_2","L4","Drought","IR1",26.13820839,25.79999924,0.338209152
"9/5/2023",25,"L4_D_3","L4","Drought","IR1",26.89849663,25.79999924,1.098497391
"9/5/2023",25,"L4_D_4","L4","Drought","IR1",27.04010201,25.89999962,1.140102386
"9/5/2023",25,"L4_D_5","L4","Drought","IR1",26.52999687,25.79999924,0.729997635
"9/5/2023",25,"L4_D_6","L4","Drought","IR1",26.58229828,25.79999924,0.782299042
"9/5/2023",25,"L4_D_7","L4","Drought","IR1",26.98211861,25.79999924,1.18211937
"9/5/2023",25,"L4_D_8","L4","Drought","IR1",26.49067307,25.20000076,1.290672302
"9/5/2023",25,"L4_D_9","L4","Drought","IR1",25.80214691,25.70000076,0.102146149
"9/5/2023",25,"L7_C_1","L7","Control","IR1",25.23623466,23.60000038,1.636234283
"9/5/2023",25,"L7_C_10","L7","Control","IR1",26.64003944,25.60000038,1.040039063
"9/5/2023",25,"L7_C_11","L7","Control","IR1",26.65731621,25.60000038,1.057315826
"9/5/2023",25,"L7_C_12","L7","Control","IR1",26.66738892,25.39999962,1.267389297
"9/5/2023",25,"L7_C_13","L7","Control","IR1",25.19337273,23.89999962,1.293373108
"9/5/2023",25,"L7_C_14","L7","Control","IR1",26.41917419,24.89999962,1.519174576
"9/5/2023",25,"L7_C_15","L7","Control","IR1",25.43073654,24.29999924,1.130737305
"9/5/2023",25,"L7_C_16","L7","Control","IR1",25.65726852,24,1.657268524
"9/5/2023",25,"L7_C_17","L7","Control","IR1",25.38077736,23.89999962,1.48077774
"9/5/2023",25,"L7_C_18","L7","Control","IR1",26.75457001,25.79999924,0.95457077
"9/5/2023",25,"L7_C_19","L7","Control","IR1",26.85667229,25.29999924,1.55667305
"9/5/2023",25,"L7_C_2","L7","Control","IR1",26.72027206,25.20000076,1.520271301
"9/5/2023",25,"L7_C_20","L7","Control","IR1",26.17344856,23.89999962,2.273448944
"9/5/2023",25,"L7_C_3","L7","Control","IR1",26.69939232,25.5,1.199392319
"9/5/2023",25,"L7_C_4","L7","Control","IR1",26.34148216,25.79999924,0.541482925
"9/5/2023",25,"L7_C_5","L7","Control","IR1",26.4542141,25.60000038,0.854213715
"9/5/2023",25,"L7_C_6","L7","Control","IR1",27.0253582,25.79999924,1.225358963
"9/5/2023",25,"L7_C_7","L7","Control","IR1",26.15310669,23.89999962,2.253107071
"9/5/2023",25,"L7_C_8","L7","Control","IR1",26.12416458,23.5,2.624164581
"9/5/2023",25,"L7_C_9","L7","Control","IR1",26.14575005,24.29999924,1.845750809
"9/5/2023",25,"L7_D_1","L7","Drought","IR1",27.4571743,25.79999924,1.657175064
"9/5/2023",25,"L7_D_10","L7","Drought","IR1",26.36812592,25.39999962,0.968126297
"9/5/2023",25,"L7_D_11","L7","Drought","IR1",25.31094933,23.89999962,1.410949707
"9/5/2023",25,"L7_D_12","L7","Drought","IR1",26.50213432,25.5,1.002134323
"9/5/2023",25,"L7_D_13","L7","Drought","IR1",27.00231171,25.79999924,1.202312469
"9/5/2023",25,"L7_D_14","L7","Drought","IR1",27.20015717,25.60000038,1.600156784
"9/5/2023",25,"L7_D_15","L7","Drought","IR1",25.78186417,25.79999924,-0.018135071
"9/5/2023",25,"L7_D_16","L7","Drought","IR1",26.21253967,24.60000038,1.612539291
"9/5/2023",25,"L7_D_17","L7","Drought","IR1",24.88721085,23.10000038,1.787210464
"9/5/2023",25,"L7_D_18","L7","Drought","IR1",27.03244591,25.39999962,1.632446289
"9/5/2023",25,"L7_D_19","L7","Drought","IR1",27.09861374,25.70000076,1.398612976
"9/5/2023",25,"L7_D_2","L7","Drought","IR1",25.2990818,23.39999962,1.899082184
"9/5/2023",25,"L7_D_20","L7","Drought","IR1",26.83184433,25.10000038,1.731843948
"9/5/2023",25,"L7_D_3","L7","Drought","IR1",25.34004974,24.5,0.840049744
"9/5/2023",25,"L7_D_4","L7","Drought","IR1",25.17492485,23.10000038,2.074924469
"9/5/2023",25,"L7_D_5","L7","Drought","IR1",27.30920601,25.79999924,1.509206772
"9/5/2023",25,"L7_D_6","L7","Drought","IR1",27.8398838,25.79999924,2.039884567
"9/5/2023",25,"L7_D_7","L7","Drought","IR1",26.28253937,25.60000038,0.682538986
"9/5/2023",25,"L7_D_8","L7","Drought","IR1",26.72044563,24.89999962,1.820446014
"9/5/2023",25,"L7_D_9","L7","Drought","IR1",25.73971748,25.29999924,0.439718246
"9/5/2023",25,"L8_C_1","L8","Control","IR1",27.20443535,25.39999962,1.80443573
"9/5/2023",25,"L8_C_10","L8","Control","IR1",26.86989212,25.39999962,1.469892502
"9/5/2023",25,"L8_C_11","L8","Control","IR1",25.9581852,25.29999924,0.658185959
"9/5/2023",25,"L8_C_13","L8","Control","IR1",26.66463089,25.79999924,0.864631653
"9/5/2023",25,"L8_C_14","L8","Control","IR1",26.26033974,25.5,0.760339737
"9/5/2023",25,"L8_C_15","L8","Control","IR1",26.8268013,25.20000076,1.626800537
"9/5/2023",25,"L8_C_16","L8","Control","IR1",26.46404457,25.89999962,0.564044952
"9/5/2023",25,"L8_C_17","L8","Control","IR1",25.39887238,24.29999924,1.098873138
"9/5/2023",25,"L8_C_18","L8","Control","IR1",25.89108276,23.39999962,2.491083145
"9/5/2023",25,"L8_C_19","L8","Control","IR1",26.62474442,25.79999924,0.824745178
"9/5/2023",25,"L8_C_2","L8","Control","IR1",26.07824516,24.39999962,1.678245544
"9/5/2023",25,"L8_C_20","L8","Control","IR1",25.62528801,24.20000076,1.425287247
"9/5/2023",25,"L8_C_3","L8","Control","IR1",26.52196503,25.20000076,1.321964264
"9/5/2023",25,"L8_C_4","L8","Control","IR1",26.23379517,25.79999924,0.433795929
"9/5/2023",25,"L8_C_5","L8","Control","IR1",26.70508003,25.39999962,1.305080414
"9/5/2023",25,"L8_C_6","L8","Control","IR1",26.56652832,25.39999962,1.166528702
"9/5/2023",25,"L8_C_7","L8","Control","IR1",26.57168388,24.60000038,1.971683502
"9/5/2023",25,"L8_C_8","L8","Control","IR1",25.30068016,24.70000076,0.600679398
"9/5/2023",25,"L8_C_9","L8","Control","IR1",26.78862,25.29999924,1.488620758
"9/5/2023",25,"L8_D_1","L8","Drought","IR1",26.52449417,24.89999962,1.624494553
"9/5/2023",25,"L8_D_10","L8","Drought","IR1",26.17127419,25.60000038,0.571273804
"9/5/2023",25,"L8_D_11","L8","Drought","IR1",26.35475922,23.89999962,2.454759598
"9/5/2023",25,"L8_D_12","L8","Drought","IR1",26.26411057,25.60000038,0.664110184
"9/5/2023",25,"L8_D_13","L8","Drought","IR1",25.31695938,23.70000076,1.616958618
"9/5/2023",25,"L8_D_14","L8","Drought","IR1",26.97495461,25.10000038,1.874954224
"9/5/2023",25,"L8_D_15","L8","Drought","IR1",24.84144974,24,0.841449738
"9/5/2023",25,"L8_D_16","L8","Drought","IR1",25.47844887,24.5,0.978448868
"9/5/2023",25,"L8_D_17","L8","Drought","IR1",27.0702076,25.79999924,1.270208359
"9/5/2023",25,"L8_D_18","L8","Drought","IR1",26.11912346,25.60000038,0.519123077
"9/5/2023",25,"L8_D_19","L8","Drought","IR1",26.1893692,25.79999924,0.389369965
"9/5/2023",25,"L8_D_2","L8","Drought","IR1",27.44774246,25.70000076,1.747741699
"9/5/2023",25,"L8_D_20","L8","Drought","IR1",25.2280674,23,2.228067398
"9/5/2023",25,"L8_D_3","L8","Drought","IR1",26.48436737,25,1.484367371
"9/5/2023",25,"L8_D_4","L8","Drought","IR1",26.40936661,25.60000038,0.809366226
"9/5/2023",25,"L8_D_5","L8","Drought","IR1",26.19371414,25.60000038,0.59371376
"9/5/2023",25,"L8_D_6","L8","Drought","IR1",26.53761864,24.70000076,1.837617874
"9/5/2023",25,"L8_D_7","L8","Drought","IR1",25.25169945,24.29999924,0.951700211
"9/5/2023",25,"L8_D_8","L8","Drought","IR1",26.25404549,23.79999924,2.454046249
"9/5/2023",25,"L8_D_9","L8","Drought","IR1",26.6996212,25.89999962,0.799621582
"9/5/2023",25,"L6_C_1","L6","Control","IR1",25.47085953,24.20000076,1.270858765
"9/5/2023",25,"L6_C_2","L6","Control","IR1",25.50874519,25.29999924,0.208745956
"9/5/2023",25,"L6_C_3","L6","Control","IR1",23.63393021,23,0.633930206
"9/5/2023",25,"L6_C_4","L6","Control","IR1",26.96659279,25,1.966592789
"9/5/2023",25,"L6_C_5","L6","Control","IR1",25.49988937,24.5,0.999889374
"9/5/2023",25,"L6_C_6","L6","Control","IR1",26.17314148,25.89999962,0.273141861
"9/5/2023",25,"L6_C_7","L6","Control","IR1",24.84747314,23.5,1.347473145
"9/5/2023",25,"L6_C_8","L6","Control","IR1",26.79456902,25,1.794569016
"9/5/2023",25,"L6_C_9","L6","Control","IR1",26.76644135,25.79999924,0.966442108
"9/5/2023",25,"L6_D_1","L6","Drought","IR1",27.1921196,25.79999924,1.392120361
