"Date","DAT","Plant.ID","Plant.Name","Treatment","PID","RGB1_Plant_RGB.138.139.97","RGB1_Plant_RGB.68.85.63"
"9/8/2023",28,"L2_C_8","L2","Control","RGB1",0.331962818,99.66803718
"9/8/2023",28,"L2_C_9","L2","Control","RGB1",0.025082818,99.97491718
"9/8/2023",28,"L2_D_1","L2","Drought","RGB1",0.711479541,99.28852046
"9/8/2023",28,"L2_D_2","L2","Drought","RGB1",4.326926195,95.6730738
"9/8/2023",28,"L2_D_3","L2","Drought","RGB1",1.405811903,98.5941881
"9/8/2023",28,"L2_D_4","L2","Drought","RGB1",2.391797892,97.60820211
"9/8/2023",28,"L2_D_5","L2","Drought","RGB1",0.327423745,99.67257625
"9/8/2023",28,"L2_D_6","L2","Drought","RGB1",0.698772416,99.30122758
"9/8/2023",28,"L2_D_7","L2","Drought","RGB1",0.021584586,99.97841541
"9/8/2023",28,"L2_D_8","L2","Drought","RGB1",1.484702085,98.51529792
"9/8/2023",28,"L2_D_9","L2","Drought","RGB1",0.698177381,99.30182262
"9/8/2023",28,"L5_C_1","L5","Control","RGB1",1.729321963,98.27067804
"9/8/2023",28,"L5_C_2","L5","Control","RGB1",3.263738296,96.7362617
"9/8/2023",28,"L5_C_3","L5","Control","RGB1",0.839000037,99.16099996
"9/8/2023",28,"L5_C_4","L5","Control","RGB1",2.300641565,97.69935843
"9/8/2023",28,"L5_C_5","L5","Control","RGB1",2.871699574,97.12830043
"9/8/2023",28,"L5_C_6","L5","Control","RGB1",1.286717324,98.71328268
"9/8/2023",28,"L5_C_7","L5","Control","RGB1",2.597983038,97.40201696
"9/8/2023",28,"L5_C_8","L5","Control","RGB1",1.934081018,98.06591898
"9/8/2023",28,"L5_C_9","L5","Control","RGB1",5.676775856,94.32322414
"9/8/2023",28,"L5_D_1","L5","Drought","RGB1",3.727076656,96.27292334
"9/8/2023",28,"L5_D_2","L5","Drought","RGB1",1.23062298,98.76937702
"9/8/2023",28,"L5_D_3","L5","Drought","RGB1",3.493453066,96.50654693
"9/8/2023",28,"L5_D_4","L5","Drought","RGB1",3.020989048,96.97901095
"9/8/2023",28,"L5_D_5","L5","Drought","RGB1",1.179388012,98.82061199
"9/8/2023",28,"L5_D_6","L5","Drought","RGB1",2.513001164,97.48699884
"9/8/2023",28,"L5_D_7","L5","Drought","RGB1",1.576506573,98.42349343
"9/8/2023",28,"L5_D_8","L5","Drought","RGB1",2.552298465,97.44770153
"9/8/2023",28,"L5_D_9","L5","Drought","RGB1",1.122483847,98.87751615
"9/8/2023",28,"L4_C_1","L4","Control","RGB1",1.508550585,98.49144942
"9/8/2023",28,"L4_C_2","L4","Control","RGB1",2.861735782,97.13826422
"9/8/2023",28,"L4_C_3","L4","Control","RGB1",3.067071671,96.93292833
"9/8/2023",28,"L4_C_4","L4","Control","RGB1",1.350844672,98.64915533
"9/8/2023",28,"L4_C_5","L4","Control","RGB1",2.49857845,97.50142155
"9/8/2023",28,"L4_C_6","L4","Control","RGB1",1.709713508,98.29028649
"9/8/2023",28,"L4_C_7","L4","Control","RGB1",1.579491849,98.42050815
"9/8/2023",28,"L4_C_8","L4","Control","RGB1",3.512100271,96.48789973
"9/8/2023",28,"L4_C_9","L4","Control","RGB1",2.294927064,97.70507294
"9/8/2023",28,"L4_D_1","L4","Drought","RGB1",2.450561982,97.54943802
"9/8/2023",28,"L4_D_2","L4","Drought","RGB1",1.079717896,98.9202821
"9/8/2023",28,"L4_D_3","L4","Drought","RGB1",1.917760699,98.0822393
"9/8/2023",28,"L4_D_4","L4","Drought","RGB1",1.986107435,98.01389257
"9/8/2023",28,"L4_D_5","L4","Drought","RGB1",2.017828787,97.98217121
"9/8/2023",28,"L4_D_6","L4","Drought","RGB1",2.116403372,97.88359663
"9/8/2023",28,"L4_D_7","L4","Drought","RGB1",2.927251913,97.07274809
"9/8/2023",28,"L4_D_8","L4","Drought","RGB1",0.651546403,99.3484536
"9/8/2023",28,"L4_D_9","L4","Drought","RGB1",1.517589111,98.48241089
"9/8/2023",28,"L7_C_1","L7","Control","RGB1",0.446155291,99.55384471
"9/8/2023",28,"L7_C_10","L7","Control","RGB1",5.165295749,94.83470425
